Time(S),Raw_Current(A),Denoised_Current(A)
49.3,-2.1199e-06,-2.5428e-06
49.4,-2.5354e-06,-2.5887e-06
49.5,-2.5887e-06,-2.5354e-06
49.6,-2.6565e-06,-2.5354e-06
49.7,-2.4657e-06,-2.4657e-06
49.8,-1.8357e-06,-2.4657e-06
49.9,-2.3095e-06,-2.3095e-06
50.0,-2.6894e-06,-2.3095e-06
50.1,-2.3091e-06,-2.3095e-06
50.2,-2.5456e-06,-2.3091e-06
50.3,-1.9385e-06,-2.3091e-06
50.4,-2.285e-06,-2.285e-06
50.5,-2.8119e-06,-2.2652e-06
50.6,-2.2652e-06,-2.285e-06
50.7,-2.253e-06,-2.2652e-06
50.8,-2.2951e-06,-2.2652e-06
50.9,-2.1787e-06,-2.2951e-06
51.0,-2.5772e-06,-2.2996e-06
51.1,-2.6236e-06,-2.2996e-06
51.2,-2.2996e-06,-2.4169e-06
51.3,-2.1539e-06,-2.4169e-06
51.4,-2.4169e-06,-2.2996e-06
51.5,-2.6483e-06,-2.2536e-06
51.6,-1.9696e-06,-2.2536e-06
51.7,-2.2536e-06,-2.2536e-06
51.8,-2.1223e-06,-2.1223e-06
51.9,-2.7444e-06,-2.2536e-06
52.0,-1.9738e-06,-2.2627e-06
52.1,-2.2627e-06,-2.3058e-06
52.2,-2.6673e-06,-2.3058e-06
52.3,-2.3058e-06,-2.5683e-06
52.4,-2.5683e-06,-2.5683e-06
52.5,-2.7547e-06,-2.3832e-06
52.6,-2.2784e-06,-2.4331e-06
52.7,-2.3832e-06,-2.4331e-06
52.8,-2.4331e-06,-2.4331e-06
52.9,-3.1502e-06,-2.61e-06
53.0,-2.7739e-06,-2.61e-06
53.1,-2.61e-06,-2.7067e-06
53.2,-2.4214e-06,-2.7067e-06
53.3,-2.7067e-06,-2.61e-06
53.4,-2.9408e-06,-2.4506e-06
53.5,-2.0485e-06,-2.4506e-06
53.6,-2.4506e-06,-2.2977e-06
53.7,-2.2977e-06,-2.2977e-06
53.8,-1.9218e-06,-2.433e-06
53.9,-2.433e-06,-2.433e-06
54.0,-3.2173e-06,-2.433e-06
54.1,-2.4689e-06,-2.4689e-06
54.2,-2.3054e-06,-2.8337e-06
54.3,-2.941e-06,-2.4689e-06
54.4,-2.8337e-06,-2.6862e-06
54.5,-2.1331e-06,-2.8337e-06
54.6,-2.6862e-06,-2.6862e-06
54.7,-2.8409e-06,-2.6131e-06
54.8,-2.6131e-06,-2.6131e-06
54.9,-2.4452e-06,-2.5017e-06
55.0,-2.5017e-06,-2.5017e-06
55.1,-2.1673e-06,-2.4452e-06
55.2,-2.7079e-06,-2.422e-06
55.3,-2.422e-06,-2.422e-06
55.4,-2.1115e-06,-2.422e-06
55.5,-3.1097e-06,-2.422e-06
55.6,-2.0412e-06,-2.3994e-06
55.7,-2.6389e-06,-2.6389e-06
55.8,-2.3994e-06,-2.3994e-06
55.9,-2.8114e-06,-2.5239e-06
56.0,-2.0409e-06,-2.5239e-06
56.1,-2.5239e-06,-2.5239e-06
56.2,-2.5817e-06,-2.5239e-06
56.3,-2.0006e-06,-2.5817e-06
56.4,-2.6673e-06,-2.5817e-06
56.5,-2.9122e-06,-2.2545e-06
56.6,-2.2545e-06,-2.6673e-06
56.7,-2.0768e-06,-2.4359e-06
56.8,-2.9928e-06,-2.4359e-06
56.9,-2.4359e-06,-2.4359e-06
57.0,-2.5572e-06,-2.4359e-06
57.1,-2.3839e-06,-2.4359e-06
57.2,-2.2525e-06,-2.5572e-06
57.3,-2.7879e-06,-2.4924e-06
57.4,-2.9915e-06,-2.4924e-06
57.5,-2.4924e-06,-2.4952e-06
57.6,-2.1784e-06,-2.4924e-06
57.7,-2.4952e-06,-2.389e-06
57.8,-2.3283e-06,-2.389e-06
57.9,-2.389e-06,-2.4004e-06
58.0,-2.7185e-06,-2.4004e-06
58.1,-2.4004e-06,-2.4004e-06
58.2,-2.5624e-06,-2.4004e-06
58.3,-2.027e-06,-2.4004e-06
58.4,-2.3288e-06,-2.4802e-06
58.5,-2.4802e-06,-2.4154e-06
58.6,-2.4855e-06,-2.4802e-06
58.7,-2.4154e-06,-2.4802e-06
58.8,-3.0529e-06,-2.4154e-06
58.9,-2.3847e-06,-2.4154e-06
59.0,-1.9174e-06,-2.4613e-06
59.1,-2.4613e-06,-2.3847e-06
59.2,-2.5108e-06,-2.4613e-06
59.3,-2.163e-06,-2.4656e-06
59.4,-2.4656e-06,-2.5108e-06
59.5,-2.6753e-06,-2.5057e-06
59.6,-2.6486e-06,-2.6486e-06
59.7,-2.5057e-06,-2.6486e-06
59.8,-3.29e-06,-2.6486e-06
59.9,-2.1717e-06,-2.5057e-06
60.0,-2.8539e-06,-2.7888e-06
60.1,-2.2236e-06,-2.4214e-06
60.2,-2.7888e-06,-2.5802e-06
60.3,-2.4214e-06,-2.5802e-06
60.4,-2.5802e-06,-2.5802e-06
60.5,-2.7411e-06,-2.5687e-06
60.6,-2.5687e-06,-2.5802e-06
60.7,-2.3823e-06,-2.5687e-06
60.8,-2.5826e-06,-2.5687e-06
60.9,-2.4458e-06,-2.4458e-06
61.0,-3.1946e-06,-2.4458e-06
61.1,-2.2624e-06,-2.4458e-06
61.2,-2.0754e-06,-2.4623e-06
61.3,-2.4623e-06,-2.2872e-06
61.4,-2.813e-06,-2.4337e-06
61.5,-2.2872e-06,-2.4623e-06
61.6,-2.4337e-06,-2.7268e-06
61.7,-3.081e-06,-2.5758e-06
61.8,-2.7268e-06,-2.5758e-06
61.9,-2.5758e-06,-2.7268e-06
62.0,-2.1292e-06,-2.5909e-06
62.1,-2.8052e-06,-2.5909e-06
62.2,-2.5909e-06,-2.5909e-06
62.3,-2.7151e-06,-2.5909e-06
62.4,-2.1356e-06,-2.5004e-06
62.5,-2.2939e-06,-2.5004e-06
62.6,-2.5004e-06,-2.5004e-06
62.7,-2.845e-06,-2.5004e-06
