Time(S),Denoised_Current(A),Pseudo_Label(1=周期)
70.4,-2.6871e-06,1.0
70.5,-2.6388e-06,1.0
70.6,-2.6388e-06,1.0
70.7,-2.6388e-06,1.0
70.8,-2.6388e-06,1.0
70.9,-2.6388e-06,1.0
71.0,-2.6219e-06,1.0
71.1,-2.4192e-06,1.0
71.2,-2.3765e-06,0.0
71.3,-2.4192e-06,0.0
71.4,-2.4192e-06,0.0
71.5,-2.2158e-06,1.0
71.6,-2.5512e-06,1.0
71.7,-2.5512e-06,1.0
71.8,-2.5512e-06,1.0
71.9,-2.4761e-06,1.0
72.0,-2.4761e-06,1.0
72.1,-2.4761e-06,1.0
72.2,-2.6235e-06,1.0
72.3,-2.4761e-06,1.0
72.4,-2.4623e-06,1.0
72.5,-2.3993e-06,1.0
72.6,-2.3993e-06,1.0
72.7,-2.3993e-06,1.0
72.8,-2.4137e-06,1.0
72.9,-2.4231e-06,1.0
73.0,-2.5526e-06,1.0
73.1,-2.475e-06,1.0
73.2,-2.475e-06,1.0
73.3,-2.475e-06,1.0
73.4,-2.3796e-06,1.0
73.5,-2.3796e-06,1.0
73.6,-2.2943e-06,1.0
73.7,-2.3796e-06,1.0
73.8,-2.5125e-06,1.0
73.9,-2.5125e-06,1.0
74.0,-2.5125e-06,1.0
74.1,-2.5125e-06,1.0
74.2,-2.3454e-06,1.0
74.3,-2.3304e-06,1.0
74.4,-2.3304e-06,1.0
74.5,-2.2985e-06,1.0
74.6,-2.1273e-06,1.0
74.7,-2.3304e-06,1.0
74.8,-2.376e-06,1.0
74.9,-2.376e-06,1.0
75.0,-2.4468e-06,1.0
75.1,-2.6961e-06,1.0
75.2,-2.6961e-06,1.0
75.3,-2.5107e-06,1.0
75.4,-2.4468e-06,1.0
75.5,-2.2778e-06,0.0
75.6,-2.2778e-06,0.0
75.7,-2.3838e-06,0.0
75.8,-2.2778e-06,1.0
75.9,-2.3838e-06,1.0
76.0,-2.3838e-06,1.0
76.1,-2.3838e-06,1.0
76.2,-2.3885e-06,1.0
76.3,-2.3885e-06,1.0
76.4,-2.3885e-06,1.0
76.5,-2.3885e-06,1.0
76.6,-2.17e-06,1.0
76.7,-2.17e-06,1.0
76.8,-2.5586e-06,1.0
76.9,-2.571e-06,1.0
77.0,-2.6197e-06,1.0
77.1,-2.6197e-06,1.0
77.2,-2.7172e-06,1.0
77.3,-2.571e-06,1.0
77.4,-2.4234e-06,1.0
77.5,-2.2787e-06,1.0
77.6,-2.4234e-06,1.0
77.7,-2.4234e-06,1.0
77.8,-2.4495e-06,1.0
77.9,-2.4495e-06,1.0
78.0,-2.6876e-06,1.0
78.1,-2.4495e-06,1.0
78.2,-2.583e-06,1.0
78.3,-2.5433e-06,1.0
78.4,-2.5433e-06,1.0
78.5,-2.3204e-06,1.0
78.6,-2.3204e-06,1.0
78.7,-2.3204e-06,1.0
78.8,-2.1646e-06,1.0
78.9,-2.1646e-06,1.0
79.0,-2.0421e-06,1.0
79.1,-2.0421e-06,1.0
79.2,-2.0421e-06,1.0
79.3,-2.2294e-06,1.0
79.4,-2.2294e-06,1.0
79.5,-2.4833e-06,1.0
79.6,-2.4833e-06,1.0
79.7,-2.4833e-06,1.0
79.8,-2.6719e-06,1.0
79.9,-2.1902e-06,1.0
80.0,-2.1902e-06,0.0
80.1,-2.1902e-06,0.0
80.2,-2.4205e-06,0.0
80.3,-2.2622e-06,0.0
80.4,-2.2622e-06,0.0
80.5,-2.2622e-06,0.0
80.6,-2.3293e-06,0.0
80.7,-2.2622e-06,1.0
80.8,-2.3293e-06,1.0
80.9,-2.4114e-06,1.0
81.0,-2.4326e-06,1.0
81.1,-2.4326e-06,1.0
81.2,-2.5246e-06,1.0
81.3,-2.5251e-06,1.0
81.4,-2.5251e-06,1.0
81.5,-2.4168e-06,1.0
81.6,-2.2616e-06,1.0
81.7,-2.2616e-06,1.0
81.8,-2.1527e-06,0.0
81.9,-2.171e-06,0.0
