序号,相对时间(s),R（Ω）,X（Ω）,时间
300,32.54,16696.2,-2097.36,2026/01/29 20:53:51
301,32.65,16802,-2098.52,2026/01/29 20:53:52
302,32.76,16831.9,-2096.69,2026/01/29 20:53:52
303,32.87,16824.9,-2091.94,2026/01/29 20:53:52
304,32.98,16759,-2085.25,2026/01/29 20:53:52
305,33.09,16585.3,-2095.69,2026/01/29 20:53:52
306,33.2,16649.8,-2103.82,2026/01/29 20:53:52
307,33.31,16736.3,-2097.1,2026/01/29 20:53:52
308,33.41,16828.4,-2096.2,2026/01/29 20:53:52
309,33.52,16839.1,-2095.3,2026/01/29 20:53:52
310,33.63,16794.9,-2087.24,2026/01/29 20:53:53
311,33.74,16624.6,-2096.31,2026/01/29 20:53:53
312,33.85,16656.2,-2099.11,2026/01/29 20:53:53
313,33.96,16725.8,-2099.16,2026/01/29 20:53:53
314,34.07,16827.9,-2095.11,2026/01/29 20:53:53
315,34.18,16836,-2098.53,2026/01/29 20:53:53
316,34.29,16804.2,-2089.24,2026/01/29 20:53:53
317,34.4,16681.1,-2093.7,2026/01/29 20:53:53
318,34.5,16670.6,-2099.83,2026/01/29 20:53:53
319,34.61,16737.5,-2098.04,2026/01/29 20:53:54
320,34.72,16836.6,-2097.69,2026/01/29 20:53:54
321,34.83,16857.7,-2096.15,2026/01/29 20:53:54
322,34.94,16838.7,-2092.34,2026/01/29 20:53:54
323,35.05,16772.6,-2086.24,2026/01/29 20:53:54
324,35.16,16621.9,-2099.94,2026/01/29 20:53:54
325,35.27,16711.1,-2097.38,2026/01/29 20:53:54
326,35.38,16770.6,-2102.67,2026/01/29 20:53:54
327,35.48,16842.2,-2096.87,2026/01/29 20:53:54
328,35.59,16853.8,-2096.28,2026/01/29 20:53:55
329,35.7,16823.6,-2091.3,2026/01/29 20:53:55
330,35.81,16677.7,-2093.51,2026/01/29 20:53:55
331,35.92,16642.6,-2104.46,2026/01/29 20:53:55
332,36.03,16750.8,-2099.44,2026/01/29 20:53:55
333,36.14,16838.5,-2096.87,2026/01/29 20:53:55
334,36.25,16854.8,-2097.13,2026/01/29 20:53:55
335,36.36,16830.2,-2092,2026/01/29 20:53:55
336,36.47,16702.6,-2092.23,2026/01/29 20:53:55
337,36.57,16607.1,-2103.34,2026/01/29 20:53:55
338,36.68,16720.8,-2099.88,2026/01/29 20:53:56
339,36.79,16794,-2100.31,2026/01/29 20:53:56
340,36.9,16851.6,-2100.37,2026/01/29 20:53:56
341,37.01,16852.1,-2091.86,2026/01/29 20:53:56
342,37.12,16820.2,-2084.71,2026/01/29 20:53:56
343,37.23,16645.6,-2099.15,2026/01/29 20:53:56
344,37.34,16664.1,-2104.68,2026/01/29 20:53:56
345,37.45,16766.7,-2098.33,2026/01/29 20:53:56
346,37.55,16845.5,-2096.97,2026/01/29 20:53:56
347,37.66,16862.3,-2097.08,2026/01/29 20:53:57
348,37.77,16841.6,-2093.61,2026/01/29 20:53:57
349,37.88,16758.1,-2089.14,2026/01/29 20:53:57
350,37.99,16678.9,-2102.39,2026/01/29 20:53:57
351,38.1,16776.7,-2098.98,2026/01/29 20:53:57
352,38.21,16831.5,-2100.55,2026/01/29 20:53:57
353,38.32,16869.2,-2098.47,2026/01/29 20:53:57
354,38.43,16875.9,-2096.58,2026/01/29 20:53:57
355,38.54,16874.9,-2095.06,2026/01/29 20:53:57
356,38.64,16852.9,-2085.26,2026/01/29 20:53:58
357,38.75,16805.8,-2097.64,2026/01/29 20:53:58
358,38.86,16826.3,-2100.62,2026/01/29 20:53:58
359,38.97,16852.7,-2097.08,2026/01/29 20:53:58
360,39.08,16855.6,-2096.17,2026/01/29 20:53:58
361,39.19,16863.7,-2095.58,2026/01/29 20:53:58
362,39.3,16875.3,-2095.8,2026/01/29 20:53:58
363,39.41,16864,-2098.18,2026/01/29 20:53:58
364,39.52,16820,-2100.79,2026/01/29 20:53:58
365,39.62,16815.4,-2103.49,2026/01/29 20:53:59
366,39.73,16843.1,-2092.81,2026/01/29 20:53:59
367,39.84,16841.9,-2098.47,2026/01/29 20:53:59
368,39.95,16856.6,-2091.39,2026/01/29 20:53:59
369,40.06,16867.4,-2093.79,2026/01/29 20:53:59
370,40.17,16857.2,-2094.81,2026/01/29 20:53:59
371,40.28,16820.7,-2100.04,2026/01/29 20:53:59
372,40.39,16830.1,-2099.81,2026/01/29 20:53:59
373,40.5,16831.6,-2095.42,2026/01/29 20:53:59
374,40.61,16860,-2093.21,2026/01/29 20:54:00
375,40.71,16871.4,-2092.73,2026/01/29 20:54:00
376,40.82,16860.8,-2092.9,2026/01/29 20:54:00
377,40.93,16855.9,-2096.52,2026/01/29 20:54:00
378,41.04,16831.9,-2100.07,2026/01/29 20:54:00
379,41.15,16833.8,-2095.32,2026/01/29 20:54:00
380,41.26,16831.2,-2096.71,2026/01/29 20:54:00
381,41.37,16854.9,-2092.61,2026/01/29 20:54:00
382,41.48,16860.9,-2092.36,2026/01/29 20:54:00
383,41.59,16864.8,-2093.71,2026/01/29 20:54:00
