序号,相对时间(s),R（Ω）,X（Ω）,时间
305,33.12,17934.4,-2479.85,2026/01/29 23:28:22
306,33.23,17865.6,-2493.91,2026/01/29 23:28:22
307,33.34,17850.5,-2497.37,2026/01/29 23:28:22
308,33.44,17923.9,-2480.34,2026/01/29 23:28:22
309,33.55,17931.9,-2480.66,2026/01/29 23:28:22
310,33.66,17930,-2480.59,2026/01/29 23:28:23
311,33.77,17906.4,-2485.34,2026/01/29 23:28:23
312,33.88,17866.6,-2493.66,2026/01/29 23:28:23
313,33.99,17895.2,-2487.48,2026/01/29 23:28:23
314,34.1,17935,-2478.52,2026/01/29 23:28:23
315,34.21,17931.7,-2482.24,2026/01/29 23:28:23
316,34.32,17935.7,-2478.43,2026/01/29 23:28:23
317,34.42,17863.3,-2495.48,2026/01/29 23:28:23
318,34.53,17892.6,-2488.53,2026/01/29 23:28:23
319,34.64,17937.5,-2478,2026/01/29 23:28:24
320,34.75,17934.5,-2481.43,2026/01/29 23:28:24
321,34.86,17939.6,-2478.63,2026/01/29 23:28:24
322,34.97,17913.5,-2484.7,2026/01/29 23:28:24
323,35.08,17884,-2490.73,2026/01/29 23:28:24
324,35.19,17917,-2483.51,2026/01/29 23:28:24
325,35.3,17934.7,-2479.66,2026/01/29 23:28:24
326,35.41,17932,-2480.96,2026/01/29 23:28:24
327,35.51,17933.9,-2479.86,2026/01/29 23:28:24
328,35.62,17935.3,-2481.35,2026/01/29 23:28:25
329,35.73,17932.6,-2481.59,2026/01/29 23:28:25
330,35.84,17918.5,-2483.42,2026/01/29 23:28:25
331,35.95,17869.8,-2495.46,2026/01/29 23:28:25
332,36.06,17870.5,-2494.38,2026/01/29 23:28:25
333,36.17,17916.6,-2483.61,2026/01/29 23:28:25
334,36.28,17935,-2481.4,2026/01/29 23:28:25
335,36.39,17933.2,-2480.44,2026/01/29 23:28:25
336,36.49,17936.4,-2481.14,2026/01/29 23:28:25
337,36.6,17938.5,-2480.4,2026/01/29 23:28:26
338,36.71,17898.1,-2488.51,2026/01/29 23:28:26
339,36.82,17877.5,-2492.75,2026/01/29 23:28:26
340,36.93,17870.3,-2496.04,2026/01/29 23:28:26
341,37.04,17910,-2483.69,2026/01/29 23:28:26
342,37.15,17933.9,-2481.62,2026/01/29 23:28:26
343,37.26,17933.1,-2480.89,2026/01/29 23:28:26
344,37.36,17937.8,-2479.93,2026/01/29 23:28:26
345,37.47,17935.8,-2482.08,2026/01/29 23:28:26
346,37.58,17899.9,-2487.7,2026/01/29 23:28:27
347,37.69,17859.4,-2498.14,2026/01/29 23:28:27
348,37.8,17909.8,-2486.2,2026/01/29 23:28:27
349,37.91,17927,-2481.15,2026/01/29 23:28:27
350,38.02,17932,-2481.01,2026/01/29 23:28:27
351,38.13,17932.4,-2481.26,2026/01/29 23:28:27
352,38.23,17933,-2479.95,2026/01/29 23:28:27
353,38.34,17933.9,-2481.47,2026/01/29 23:28:27
354,38.45,17935,-2480.48,2026/01/29 23:28:27
355,38.56,17938.1,-2478.13,2026/01/29 23:28:27
356,38.67,17909.2,-2488.05,2026/01/29 23:28:28
357,38.78,17862.1,-2496.91,2026/01/29 23:28:28
358,38.89,17882.3,-2492.39,2026/01/29 23:28:28
359,39,17922.7,-2483.5,2026/01/29 23:28:28
