Time:,2024/12/13 0:05:27
Mode:,I-t - Amperometric i-t Curve
Range,5.0E-2A
Init E (mV),2000
Run Time (mS),180000
Quiet Time (mS),2000
Sample Int (mS),100
Filter (1-9999),9950

Time(S),Current(A)
6.3500e+001,2.9415e-003
6.3600e+001,2.9764e-003
6.3700e+001,2.9968e-003
6.3800e+001,3.0083e-003
6.3900e+001,3.0149e-003
6.4000e+001,3.0181e-003
6.4100e+001,3.0196e-003
6.4200e+001,3.0198e-003
6.4300e+001,3.0187e-003
6.4400e+001,3.0126e-003
6.4500e+001,6.1952e-004
6.4600e+001,6.0811e-004
6.4700e+001,4.4443e-004
6.4800e+001,3.8944e-004
6.4900e+001,2.6628e-003
6.5000e+001,2.3491e-003
6.5100e+001,2.6467e-003
6.5200e+001,2.7103e-003
6.5300e+001,2.7477e-003
6.5400e+001,2.7308e-003
6.5500e+001,2.7506e-003
6.5600e+001,2.7923e-003
6.5700e+001,2.8373e-003
6.5800e+001,2.8823e-003
6.5900e+001,2.9186e-003
6.6000e+001,2.9421e-003
6.6100e+001,2.9547e-003
6.6200e+001,2.9611e-003
6.6300e+001,6.7367e-004
6.6400e+001,4.1984e-004
6.6500e+001,4.0081e-004
6.6600e+001,3.8597e-004
6.6700e+001,3.7538e-004
6.6800e+001,3.6379e-004
6.6900e+001,1.3241e-003
6.7000e+001,2.8635e-003
6.7100e+001,2.9347e-003
6.7200e+001,2.9790e-003
6.7300e+001,3.0055e-003
6.7400e+001,3.0208e-003
6.7500e+001,3.0301e-003
6.7600e+001,3.0355e-003
6.7700e+001,3.0389e-003
6.7800e+001,3.0408e-003
6.7900e+001,3.0417e-003
6.8000e+001,3.0414e-003
6.8100e+001,3.0398e-003
6.8200e+001,3.0320e-003
6.8300e+001,4.0817e-004
6.8400e+001,3.9024e-004
6.8500e+001,3.7717e-004
6.8600e+001,3.6669e-004
6.8700e+001,2.8496e-003
6.8800e+001,2.3095e-003
6.8900e+001,2.6239e-003
6.9000e+001,2.7570e-003
6.9100e+001,2.8662e-003
6.9200e+001,2.9360e-003
6.9300e+001,2.9769e-003
6.9400e+001,3.0009e-003
6.9500e+001,3.0149e-003
6.9600e+001,3.0229e-003
6.9700e+001,3.0271e-003
6.9800e+001,3.0293e-003
6.9900e+001,3.0301e-003
7.0000e+001,3.0241e-003
7.0100e+001,4.4805e-004
7.0200e+001,3.8533e-004
7.0300e+001,3.7302e-004
7.0400e+001,3.6312e-004
7.0500e+001,3.5388e-004
7.0600e+001,3.9109e-004
7.0700e+001,2.0600e-003
7.0800e+001,2.8500e-003
7.0900e+001,2.9223e-003
7.1000e+001,2.9683e-003
7.1100e+001,2.9957e-003
7.1200e+001,3.0120e-003
7.1300e+001,3.0218e-003
7.1400e+001,3.0276e-003
7.1500e+001,3.0310e-003
7.1600e+001,3.0331e-003
7.1700e+001,3.0343e-003
7.1800e+001,3.0348e-003
7.1900e+001,3.0344e-003
7.2000e+001,3.0234e-003
7.2100e+001,3.6751e-004
7.2200e+001,3.6112e-004
7.2300e+001,3.5588e-004
7.2400e+001,3.5003e-004
7.2500e+001,3.4211e-004
7.2600e+001,3.7160e-004
7.2700e+001,2.3483e-003
7.2800e+001,2.8689e-003
7.2900e+001,2.9290e-003
7.3000e+001,2.9717e-003
7.3100e+001,2.9971e-003
7.3200e+001,3.0120e-003
7.3300e+001,3.0203e-003
7.3400e+001,3.0252e-003
7.3500e+001,3.0285e-003
7.3600e+001,3.0307e-003
7.3700e+001,3.0324e-003
